,Place type,Name,Place list,Capacity,Fee,Altitude,Description,Telephone,Website,Email,Hiking association,Guard name(s),Services,Coordinates,Acces,Zones,Emplacement,Nearby routes
24,Shelter,Refugio del Pla de les Pedres,"['Shelter in Andorra', 'Shelter in Encamp']",6 beds,Free to use,2150m,"The refuge of Pla de les Pedres is at 2,150 meters altitude, to the right of the CN-2 and near the Bordas de Envalira. The refuge is located right next to the ski slopes of Soldeu El Tarter. ",?,?,?,Govern Andorra,?,"['Beds', 'Drinking water', 'Fireplace', 'First aid kit', 'Table']",Latitude: 42.5536 Longitude: 1.6789,[],['Zone:Bordes de Envalira'],[],"['GRT 1: La ruta de les 3 nacions', ""GRP d'Andorra: La volta a tot un país"", 'El Riu Pollós', ""Anyós - l'Aldosa: El Camí del Solà"", 'Bony de les Neres', 'Camí de Fontaneda fins a la Collada de la Gallina', 'Camí de Francolí', 'Camí del Gall', 'Camí de Juberri a la Rabassa', 'Camí de la Senyoreta', 'Estany de Querol i Salamandres', 'Camí de les Pardines', 'Camí de Manyat', ""Camí de Percanela - Les Fonts - Pla de l'Estany"", 'Camí de Rocafort', 'Camí del Cardemeller - Font del Bisbe', 'Camí del Coll de les Cases', 'Camí del Jou - Roc de la Cauba', 'Camí del Toll Bullidor', 'Camí Interparroquial de Prats a Engolasters', 'Canya de la Rabassa - Pla de Sorteny', 'Canya de la Rabassa - Pla de Sorteny - Planell del Quer', 'Circuit de les Fonts - Itinerari llarg', 'Collada de la Maiana', ""Collada de Muntaner - Pic d'Enclar"", 'El Cubil Petit', 'El Siscaró - Estany de Baix', ""Els Cortals d'Encamp, refugi i estany d'Ensagents"", ""Itinerari de l'Estany Blau"", 'Estany de Juclà', 'Estany de la Nou', 'Estany de les Abelletes', 'Estanys de Tristaina', ""Estanys de l'Angonella"", 'Refugi i Estanys de Montmalús', 'Estanys i Refugi de Cabana Sorda', 'Estanys i Refugi de la Vall del Riu', 'Fonts del Campeà', 'Itinerari del Fontverd', 'Itinerari de la Vall del Madriu', 'Itinerari de Perafita', ""Itinerari d'Entremesaigües"", ""Itinerari per la Vall d'Enclar - Prats del Paquetaire"", ""L'Alt del Griu"", 'Llac de Pessons', ""Llac d'Engolasters"", 'Pic de Casamanya', ""Camí de l'alt de Comapedrosa (Parc natural del Comapedrosa)"", 'Pic de la Font Blanca', 'Pic de la Serrera', 'Portella Blanca', 'Prat primer per Palomera', 'Refugi i Cap dels Agols', 'Ruta del Ferro', 'Ruta Verdaguer - Estany de Creussans', 'Tomb de Llorts a Sedornet', 'Tomb de Puntal - Rialb - La Rabassa', 'Tomb del Turer', 'Rec del Solà', 'GR 10A', ""Refuge d'En Beys"", 'Ruta de senderisme cultural: El Camí', 'Ballade de la chapelle Saint-Barthelemy', ""Camí de l'Ossa"", 'Le chemin des Orris', 'GR 11.10', ""Camí de l'Últim Càtar"", 'HRP Variante 30-31.1', 'Pic de Ribuls', 'Senderisme: Alta Ruta Pirenaica', 'Ruta de senderisme: Coronallacs', 'Camí saludable dels drets humans', 'Circular a la parròquia de Canillo', ""Les Pardines fins l'estany de l'Illa, passant pel refugi i la Collada dels Agols"", 'Estany Esbalçat', 'Pic del Port Vell', ""Estany de Montmantell i Pic del Pla de l'Estany"", 'La Margineda-Pic Bony de la Pica-Sispony-la Margineda', 'Tomb de Prat Primer', 'Tomb Lauredià (Itinerari mitjà)', 'Tomb Lauredià(Itinerari llarg)', ""Itinerari de l'Obaga"", 'Itinerari Coll Jovell', 'De Prats al santuari de Meritxell']"
25,Shelter,Cabaña del Arroyo de Valverde,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",4 beds,Free to use,1485m,"Small hut located in the valley of the Arroyo de Maraña, northwest of the Mampodré massif, in the Montaña Leonesa.",?,?,?,?,?,"['Drinking water', 'Fireplace']",Latitude: 43.0437 Longitude: -5.20998,[],['Zone:Mampodré'],[],"['CR-6 Ruta de las Minas', 'PR-PNPE 7 La Jocica - Carombo', 'PRC-LE 18 Collada de Lois', 'PR-LE 20 Puerto de Ventaniella', 'PRC-LE 25 Puerto de Horcadas', 'PR-LE 17 Lago de Isoba', 'PR-LE 19 Puerto de Las Señales', 'PRC-LE 27 Entrevalles y el Valle del Pinzón', 'PRC-LE 28 La Cervatina', 'PRC-LE 29 Picos de Mampodre', 'PR-LE 30 Las Biescas', 'PR-LE 32 Liegos-Acevedo', 'PRC-LE 33 Matapiojos', 'PR-LE 46 Camino de Wamba', 'PR-LE 48 Monte la Bollería', 'PR-LE 49 Cuatro Pueblos', 'PR-LE 50 Puerto de Tejedo', 'PRC-LE 36 Camino Real', 'PRC-LE 51 Camino de Llorada', 'Ruta de Brañagallones', 'PR-LE 56 Por el río Porma', 'PRC-LE 47 Puerto de Linares', ""PR-AS 66.1 Brañagallones - La Peña'l Vientu"", 'PR-AS 65 Ruta del Tiatordos', 'PR-AS 65.1 Pendones - La Vega Baxo', 'PR-AS 48 Ruta del Gumial', 'PR-AS 30 Ruta ayerana de Las Brañas', 'PR-AS 126 Ruta del Valle del ríu Mediu', 'PR-AS 125 Ruta de Cañandi', 'PR-AS 212 Sellañu - El Semeldón']"
26,Shelter,Refugi Font Ferrera,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Tarragona']",40 beds,Paid,1157m,"At the southwestern end of the Ports massif, the southernmost mountain range of Catalonia, close to the Tossal d'en Cervera (1,346m), stands the refuge Font Ferrera, a building that from In 1997, he worked as a sheltered refuge. Accessible by track from the town of Fredes and the crossing point of the GR 7, it is part of the Estels del Sud crossing, which runs through the massif of the Ports, one of the most beautiful and surprising mountains in the country. A refuge with numerous options for hiking in the family.",tel:+34 607 440 793,https://www.feec.cat/refugi/refugi-font-ferrera/,mailto:fontferrera.refugi@feec.cat,FEEC,Gabriel Gutiérrez,"['Blankets', 'Food and beverages', 'Heating', 'Internet', 'Shower', 'WC']",Latitude: 40.7291 Longitude: 0.2032,"['Access on foot:From Fredes (1.30 pm), from the Pinar Pla (30 min), from the Caro refuge (5 h), through the GR 7, from Mas refuge del Frare (2.15 h), also for GR 7. ', 'Access by car:Carretera des Sènia (Montsià) to Fredes (Baix Maestrat). From this town there are 13 km of forest track to the refuge. ']",['Zone:Parc Natural dels Ports.'],"[""Emplacement:Sota el Tossal d'en Cervera, al massís del Port.""]","['RUTA DE LOS OLIVOS MILENARIOS', 'RUTA DE LA SIERRA DE SANT PERE', 'Ruta del Riu Cérvol y sus Molinos', 'Vola a la Mola de Cati passant per Cova Cambra']"
27,Shelter,Refugi de la Font del Teix,"['Shelter in Spain', 'Shelter in Valencian community', 'Shelter in Alicante']",4 beds,Free to use,1100m,"Small refuge in the Sierra d'Aixortà, which has just enough to stay out of the wind, cold and inclement weather. If you think about spending the night here, it will have to be on the floor or on one of the 4 stools, two of them being suitable for sleeping. I strongly recommend bringing a mat or some comfortable surface on which to sleep. There is a fountain right next to the shelter.",?,?,?,?,?,"['Drinking water', 'Table']",Latitude: 38.6916 Longitude: -0.1554,[],"[""Zone:Serra d'Aixortà""]",[],"['Gata de Gorgos - Alt Serrellars - Gata de Gorgos', 'QUATRETONDETA - BENASAU', ""El Castellet d'Orba"", 'RACONS', 'Xaló - Camì Tàberna', ""Ruta de l'Aigua"", 'La Segaria de Benimeli', 'SELLA - BENIMANTELL', ""Camí del Castell d'Aixa"", 'Variant IV, Sender de Pedreguer', 'VARIANT III, Sender de Pedreguer', 'VARIANT II, SENDER DE PEDREGUER', 'VARIANT I, Sender de Pedreguer', 'SENDERO DE PEDREGUER', ""Callosa d'en Sarrià - Bolulla - Castell de Castells"", 'Callosa d´En Sarrià – Xirles – La Nucia', 'Callosa d´En Sarrià – Tàrbena – Castell de Castells', ""CALLOSA D'EN SARRIÀ - CONFRIDES. PEL RIU"", 'Sendero del Seguili', 'VOLTA DEL CANTAL', 'Camí de la Cova de la Serp Altea la Vella - Pinos', 'LES VALLS', 'BENIGEMBLA - COCOLL - CASTELL DE CASTELLS', 'MURLA - PENYÓ ROIG', 'ALCALALÍ - COLL DE RATES', 'SERRA DE SEGARÍA', 'ALT SERRELLARS - CORRAL DE BORRELL - FONT DE LA MATA', 'GATA DE GORGOS - TOSAL DEL MORO - SERRELLARS', 'Ruta del Riberero', 'FONT DE CENTELLA (ORBA)', 'SERRA D’ORXETA', 'Ruta dels Assagadors i les Covatelles', ""Sender al Cim d'Olta"", 'SUBIDA PUIG CAMPANA', 'Volta al Puig Campana', 'QUATRETONDETA - PLA DE LA CASA', 'El Retonar - Montaña de Nieve', 'PUERTO TUDONS - CONFRIDES', 'PUERTO DE TUDONS - BENIFATO', ""L'Orxa - Àrees Recreatives"", 'PUERTO DELS TUDONS - CUMBRE DE AITANA', 'Sella – Collado Travesa – Sella', 'Sella – Alt de la Penya de Sella – Sella', 'GUADALEST - CASTELLS DE CASTELLS', 'Facheca – Pla de la Casa - Facheca', 'Vall de Laguart – Serra del Penyo Roc', 'POLOP - COLLADO DEL LLAMP Y POUET - POLOP', 'Benimassot – Barranc de Malafí – Castell de Castells - Benimassot', 'PR-CV 167 Vall de Gallinera, Alpatrò - Benialí', 'POLOP - PONOIG', 'Sierra del Carrascal de Parcent', 'Els Arcs', 'Sendero al Morro Blau', 'POLOP - BARRANC DEL SALT - POLOP', 'El Castellet', 'La Catedral del Senderisme', 'Camí de Ses Roques a Picassaries', 'De Serrals a Parelles por Font des Olbis', 'FINESTRAT - POLOP', 'FINESTRAT - SELLA', 'SELLA - BENIFATO', 'PR-CV 18 Guadalest - Cumbre de Aixortà', 'Els Arcs', 'Red de senderos - Ruta 2', 'Red de senderos - Senda Local', 'Pasarela de la presa de Relleu']"
28,Shelter,Refugio ESTANYA CABANA,"['Shelter in Andorra', 'Shelter in Escaldes-engordany']",? beds,Free to use,2430m,?,?,?,?,?,?,[],Latitude: 42.4903 Longitude: 1.6483,[],[],[],"['GRT 1: La ruta de les 3 nacions', ""GRP d'Andorra: La volta a tot un país"", 'El Riu Pollós', ""Anyós - l'Aldosa: El Camí del Solà"", 'Bony de les Neres', 'Camí de Fontaneda fins a la Collada de la Gallina', 'Camí de Francolí', 'Camí del Gall', 'Camí de Juberri a la Rabassa', 'Camí de la Senyoreta', 'Estany de Querol i Salamandres', 'Camí de les Pardines', 'Camí de Manyat', ""Camí de Percanela - Les Fonts - Pla de l'Estany"", 'Camí de Rocafort', 'Camí del Cardemeller - Font del Bisbe', 'Camí del Coll de les Cases', 'Camí del Jou - Roc de la Cauba', 'Camí del Toll Bullidor', 'Camí Interparroquial de Prats a Engolasters', 'Canya de la Rabassa - Pla de Sorteny', 'Canya de la Rabassa - Pla de Sorteny - Planell del Quer', 'Circuit de les Fonts - Itinerari llarg', 'Collada de la Maiana', ""Collada de Muntaner - Pic d'Enclar"", 'El Cubil Petit', 'El Siscaró - Estany de Baix', ""Els Cortals d'Encamp, refugi i estany d'Ensagents"", ""Itinerari de l'Estany Blau"", 'Estany de Juclà', 'Estany de la Nou', 'Estany de les Abelletes', 'Estanys de Tristaina', ""Estanys de l'Angonella"", 'Refugi i Estanys de Montmalús', 'Estanys i Refugi de Cabana Sorda', 'Estanys i Refugi de la Vall del Riu', 'Fonts del Campeà', 'Itinerari del Fontverd', 'Itinerari de la Vall del Madriu', 'Itinerari de Perafita', ""Itinerari d'Entremesaigües"", ""Itinerari per la Vall d'Enclar - Prats del Paquetaire"", ""L'Alt del Griu"", 'Llac de Pessons', ""Llac d'Engolasters"", 'Pic de Casamanya', ""Camí de l'alt de Comapedrosa (Parc natural del Comapedrosa)"", 'Pic de la Font Blanca', 'Pic de la Serrera', 'Portella Blanca', 'Prat primer per Palomera', 'Refugi i Cap dels Agols', 'Ruta del Ferro', 'Ruta Verdaguer - Estany de Creussans', 'Tomb de Llorts a Sedornet', 'Tomb de Puntal - Rialb - La Rabassa', 'Tomb del Turer', 'Rec del Solà', 'GR 10A', 'Ruta de senderisme cultural: El Camí', 'PR-C 121 Estana al Coll de la Canal del Cristall', ""Camí de l'Ossa"", 'Le chemin des Orris', 'PR-C 61', 'PR-C 62', 'PR-C 63', 'PR-C 68', 'GR 11.10', ""Camí de l'Últim Càtar"", 'PR-C 126', 'HRP Variante 30-31.1', 'Pic de Ribuls', 'Senderisme: Alta Ruta Pirenaica', 'Ruta de senderisme: Coronallacs', 'Camí saludable dels drets humans', 'Circular a la parròquia de Canillo', ""Les Pardines fins l'estany de l'Illa, passant pel refugi i la Collada dels Agols"", 'Estany Esbalçat', 'Pic del Port Vell', ""Estany de Montmantell i Pic del Pla de l'Estany"", 'La Margineda-Pic Bony de la Pica-Sispony-la Margineda', 'Tomb de Prat Primer', 'Tomb Lauredià (Itinerari mitjà)', 'Tomb Lauredià(Itinerari llarg)', ""Itinerari de l'Obaga"", 'Itinerari Coll Jovell', 'De Prats al santuari de Meritxell']"
29,Shelter,Refugio RISQUIEZO EL,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in Soria']",? beds,Free to use,1092m,?,?,?,?,?,?,[],Latitude: 41.7995 Longitude: -3.1967,[],[],[],"['PR-SO-BU 65 Senda del Río', 'PRC-BU 69 Sendero Loberas', 'PRC-BU 154 Sendero delos Arabuzos', 'Senda de las Gullurías']"
30,Shelter,Cabane Estables,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",8 beds,Free to use,1755m,Fireplace: Yes,?,?,?,?,?,"['Beds', 'Drinking water', 'Fireplace', 'Table']",Latitude: 42.4609 Longitude: 2.44805,[],['Zone:Col de la Régine'],[],"['GR 10 - sec.2', 'Tour del Canigó']"
31,Campsite,Camping Valle Añisclo,"['Campsite in Spain', 'Campsite in Aragon', 'Campsite in Huesca']",? beds,Paid,?,?,tel:+34 974505096,http://www.valleanisclo.com,?,?,?,[],Latitude: 42.5087 Longitude: 0.125012,[],[],[],"['PR-HU 115 Puén Pecadó-Ibones del Sen', 'GR-19.1 Senderos del Sobrarbe. Variante por Bielsa', 'PR-HU 37', 'HRP Variante 16.2']"
32,Shelter,Refugio REBOST,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Barcelona']",50 beds,Paid,1640m,"The Shelter had been a farmhouse that had been inhabited for many years. Bagà hiking enthusiasts created Bagà's UEC, while refuge work began. On September 25, 1955, it was officially opened.",tel:+34 608736714,http://refugirebost.cat,mailto:reservesrebost@gmail.com,?,?,"['Cooking space', 'Drinking water', 'First aid kit', 'Flipflops', 'Food and beverages', 'Power supply', 'Shower', 'WC']",Latitude: 42.2873 Longitude: 1.88504,[],['Zone:Parc Natural Cadí Moixerò'],[],"['GR-241', 'PR-C 79 La Gallina Pelada', 'GR 150', 'PR-C 128 Pels Cingles de Vallcebre', 'PR-C 144 Ruta de les Colònies', 'PR-C 129 La Olla de Sant Julià de Cerdanyola', 'PR-C 147 Sender de Vilada', ""PR-C 125 Sender de l'Holstalet"", 'PR-C 123 Volta al Pedraforca', 'PR-C 190 Sender de Camprodon a Ribes de Freser', 'PR-C 50 Sender de Puigcercós', 'Sender Local: Molí de la Farga - Palmerola', 'GR 107,5', 'GR 150.1', 'Itinerari de natura dels Gorgs del Torrent de la Cabana', 'PR-C 121 Estana al Coll de la Canal del Cristall', 'GR 107-1 Font de la Bruixa - Molí de Feners', 'PR-C 11 La Pobla de Lillet - Prat Gespador', 'PR-C 124', '[SL]', 'PR-C 123.1 Coll de Setfons', 'PR-C 199', 'PR-C 126', 'Pic de Ribuls']"
33,Campsite,Zona acampada Molino de los Cuchillos,"['Campsite in Spain', 'Campsite in Valencian community', 'Campsite in Valencia']",80 beds,Free to use,923m,?,?,?,?,?,?,"['Shower', 'WC']",Latitude: 40.0523 Longitude: -1.19619,[],[],[],"['Titaguas -La Tejeria', 'Barranco Regajo, ""Aras de los Olmos - enlace GR 37""', 'Ruta de ""Las Fuentes de Titaguas""', 'Rio Arcos - Peña Blanca - Losilla de Aras', 'Vertientes del rio turia', 'Senda de la Madera', 'La Muela - Rio Turia', 'Los Rubiales - Rio Turia', 'Alto de las Barracas', 'Ruta del Bohilgues y del Val', 'Ruta del Rodeno', 'La Muela - Peñablanca', 'PR-CU 11 Sendero del Agua', 'PR-V 131.2 Ruta de Cavanilles', 'PR-V 131.1 Cruz de los tres reinos', 'PR-V 131.3 Ruta del Ebrón', 'Estrechos del Río Ebrón', 'PR-V 131.9 Ruta de los barrancos', 'La Ruta del Colesterol', 'Huellas del Ebrón', 'Sendero de la Biodiversidad', 'Barranco de las Tejadas']"
34,Shelter,Refugio de la Font de les Pollineres,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",8 beds,Free to use,2135m,"The refuge is accessed through the town of Aransa, in the Cerdanya, in the central Catalan Pyrenees. From Aransa to the refuge, there are approximately 11 km of forest track. It can also be accessed through Lles de la Cerdaña, which is approximately 24 km, and passing through the protected refuge of Cap del Rec and the free shelter of Pradell. It can be reached by car, in summer.",?,?,?,Servicio Forestal de Lleida,?,[],Latitude: 42.4454 Longitude: 1.61026,[],['Zone:Valle Pleta de la Pera'],[],"['GRT 1: La ruta de les 3 nacions', ""GRP d'Andorra: La volta a tot un país"", 'El Riu Pollós', ""Anyós - l'Aldosa: El Camí del Solà"", 'Bony de les Neres', 'Camí de Fontaneda fins a la Collada de la Gallina', 'Camí de Francolí', 'Camí del Gall', 'Camí de Juberri a la Rabassa', 'Camí de la Senyoreta', 'Estany de Querol i Salamandres', 'Camí de les Pardines', 'Camí de Manyat', ""Camí de Percanela - Les Fonts - Pla de l'Estany"", 'Camí de Rocafort', 'Camí del Cardemeller - Font del Bisbe', 'Camí del Coll de les Cases', 'Camí del Jou - Roc de la Cauba', 'Camí del Toll Bullidor', 'Camí Interparroquial de Prats a Engolasters', 'Canya de la Rabassa - Pla de Sorteny', 'Canya de la Rabassa - Pla de Sorteny - Planell del Quer', 'Circuit de les Fonts - Itinerari llarg', 'Collada de la Maiana', ""Collada de Muntaner - Pic d'Enclar"", 'El Cubil Petit', 'El Siscaró - Estany de Baix', ""Els Cortals d'Encamp, refugi i estany d'Ensagents"", ""Itinerari de l'Estany Blau"", 'Estany de Juclà', 'Estany de la Nou', 'Estany de les Abelletes', 'Estanys de Tristaina', ""Estanys de l'Angonella"", 'Refugi i Estanys de Montmalús', 'Estanys i Refugi de Cabana Sorda', 'Estanys i Refugi de la Vall del Riu', 'Fonts del Campeà', 'Itinerari del Fontverd', 'Itinerari de la Vall del Madriu', 'Itinerari de Perafita', ""Itinerari d'Entremesaigües"", ""Itinerari per la Vall d'Enclar - Prats del Paquetaire"", ""L'Alt del Griu"", 'Llac de Pessons', ""Llac d'Engolasters"", 'Pic de Casamanya', ""Camí de l'alt de Comapedrosa (Parc natural del Comapedrosa)"", 'Pic de la Font Blanca', 'Pic de la Serrera', 'Portella Blanca', 'Prat primer per Palomera', 'Refugi i Cap dels Agols', 'Ruta del Ferro', 'Ruta Verdaguer - Estany de Creussans', 'Tomb de Llorts a Sedornet', 'Tomb de Puntal - Rialb - La Rabassa', 'Tomb del Turer', 'Rec del Solà', 'GR 150', 'PR-C 123 Volta al Pedraforca', 'GR 150.1', 'Ruta de senderisme cultural: El Camí', 'PR-C 121 Estana al Coll de la Canal del Cristall', ""Camí de l'Ossa"", 'PR-C 61', 'PR-C 62', 'PR-C 63', 'PR-C 68', '[SL]', 'GR 11.10', 'PR-C 123.1 Coll de Setfons', 'PR-C 226 Cornellana', 'PR-C 126', 'Pic de Ribuls', 'Senderisme: Alta Ruta Pirenaica', 'Ruta de senderisme: Coronallacs', 'Camí saludable dels drets humans', 'Circular a la parròquia de Canillo', ""Les Pardines fins l'estany de l'Illa, passant pel refugi i la Collada dels Agols"", 'Estany Esbalçat', 'Pic del Port Vell', ""Estany de Montmantell i Pic del Pla de l'Estany"", 'La Margineda-Pic Bony de la Pica-Sispony-la Margineda', 'Tomb de Prat Primer', 'Tomb Lauredià (Itinerari mitjà)', 'Tomb Lauredià(Itinerari llarg)', ""Itinerari de l'Obaga"", 'Itinerari Coll Jovell', 'De Prats al santuari de Meritxell']"
35,Shelter,Refugio BAQUERIZAL,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",6 beds,Free to use,1900m,?,?,?,?,?,?,[],Latitude: 42.6093 Longitude: 0.45489,[],[],[],"['PR-HU 115 Puén Pecadó-Ibones del Sen', 'GR-19.1 Senderos del Sobrarbe. Variante por Bielsa', ""Lac Vert, Boucle par l'Est"", 'PR-HU 37', 'Ascension a Posets', ""Pic d'Espingo depuis les Granges d'Astau"", 'Le cirque des Crabioules', 'Le Pic de Circé', ""Le Pic de la Montagnette depuis l'Hospice de France"", 'Pic de la Sauvegarde', 'Pic de Céciré', ""Grande boucle autour de l'Hospice de France"", 'Refuge et Port de Vénasque', 'Sentier des Mélèzes 15', 'Sentier de Gerbelongue', 'Sentier de Baricave', 'Sentier de Péguère', ""Sentier de l'Hospice du Rioumajou"", 'Sentier des Vaches', 'Ruta 3 Valls. Etapa 4: Castanesa => El Pont de Suer', 'Ruta 3 Valls. Etapa 3: Aneto => Castanesa']"
36,Shelter,VIVAC IGLESIA DE CEREIXIDO,"['Shelter in Spain', 'Shelter in Galicia', 'Shelter in Lugo']",2 beds,Paid,799m,Portal Iglesia de Cereixido,?,?,?,?,?,[],Latitude: 42.7929 Longitude: -6.93545,[],[],[],"['Camino natural Cacabelos - Quilós', 'PR-AS 23 Pico Miravalles', 'PR-AS 6 Ruta dos Ancares', 'Ruta da Devesa da Rogueira']"
37,Campsite,el Sotet,"['Campsite in Spain', 'Campsite in Catalonia', 'Campsite in Lleida']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 41.4563 Longitude: 0.357238,[],[],[],[]
38,Shelter,Refugio FENALES LOS,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",18 beds,Free to use,1409m,Free hut 2 floors,?,?,?,?,?,[],Latitude: 42.3037 Longitude: -0.19889,[],[],[],"['PR-HU 4 Yebra de Basa - Santa Orosia - Larrede', 'GR-45 Senderos del Somontano', 'PR-HU 146 Un paseo hasta las Fuentes de Marcelo', 'PR-HU 144 Recorrido por los Sasos de Tierz y Bellestar', 'PR-HU 140 Recorrido por el humedal de Cortés', 'PR-HU 145 Recorrido por el Saso de Montearagón', ""S6 San Martín de la Bal d'Onsera"", 'S7 Vadiello, San Cosme y San Damián - El Huevo de San Cosme', 'Huellas de la Guerra. Trincheras de Loporzano y Tierz', 'S8 Barranco de la Pillera']"
39,Shelter,Refugio PUENTE DE SIL,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",? beds,Free to use,1070m,?,?,?,?,?,?,[],Latitude: 42.8128 Longitude: -0.711531,[],[],[],"['Chemin de Pirait asp41', ""Cabane d'Ichéus asp43"", 'Chemin des Jaupins asp14', 'Tour de Soudious asp10', ""Plateau d'Ourdinse asp17"", ""Chemin d'Aulet asp28"", ""Cabane Laiterine par le Col d'Iseye asp32"", 'Tour de la Borde de Bouhaben asp26', 'Tour du Vallon asp11', 'Tour du Belvédère asp47', 'Cabane du Boué asp48', ""Chemin d'Esquit à Lescun asp46"", 'Plateau de Sanchèse asp50', 'Cabanes et Lac de Lhurs asp51', ""Cabanes et Lac d'Ansabe asp52"", 'Tour de Busteigts asp58', ""Liaison Etsaut - Col d'Arras asp59"", 'Panorama de Narbissat asp57', 'Tour Mâture-Arras asp62', ""Tour du Lac d'Arlet asp68"", 'Sentier des Pistes de Fond du Somport', 'Sentier du Plateau de la Gentiane PNP', ""Sentier du Lac d'Estaëns PNP"", 'Senda de Camille 9 (Oza-Gabardito por Vía Romana)', 'Sentier de Peyranère au Refuge de Larry PNP', ""Sentier d'Urdos au Refuge de Larry PNP"", 'Sentier de Borce à Belonce PNP', ""Sentier du Viaduc au Vallon d'Arnousse PNP"", 'Chemin de la Liberté par la Cuarde asp121', 'GRT 13 de Zuriza a Lescun', 'GR 11.1 Senda Pirenaica - Variante 1', 'Tour des Fontaines asp16', ""Tour d'Ayriré par Udapet asp64"", 'Tour du Bialaa asp63', ""Km vertical d'Ourdinse asp19"", ""Trail d'Ourdinse asp18"", 'Chemins du Gave asp12', 'Cabanes et Crêtes du Layens asp38', 'Km vertical du Layens asp37', 'Trail du Layens par Pirait asp36', 'Tour du Bugala asp34', ""Lac du Montagnon par le Col d'Iseye asp33"", 'Km vertical de Bergout asp25', 'Trail de Bergout asp24', 'Tour des Serres asp113', 'Tour Arreugle-Massey asp112', 'Tour Ombrer-Cometas asp111', 'Tour du Rocher des Chèvres asp110', 'Tour panoramique Osse-Athas asp109', 'Chemin de Beloute asp118', 'Tour de Lasies asp115', 'Tour Urdos - Bérat asp66', 'Cabanes de Narbèze asp117', 'Cabane de Lhèze asp116', 'Granges de Cette asp56', 'Col de la Cuarde par Aumet asp55', 'Col de Paü asp54', 'Refuge de Linza par le Col de Pétragème asp119', 'Col de Pétragème asp53', 'Chemin de Compostelle par le Col de Paü asp120', 'Senda de Camille 8 (Oza-Gabardito por Acher)', 'Senda de Camille 7 (Linza-Oza)', 'Sommet du Poey asp122', ""Voie d'OssauB""]"
40,Shelter,Refugio Banderillas (viejo),"['Shelter in Spain', 'Shelter in Andalusia', 'Shelter in Jaén']",4 beds,Free to use,1980m,SITUATION,?,?,?,?,?,['Fireplace'],Latitude: 38.0128 Longitude: -2.78692,[],['Zone:Cresta de la Cuerda de las Banderillas'],[],"['Río Borosa desde la piscifactoría hasta el embalse de FEDA y Laguna de Valdeazores', 'Bosques del Sur - Etapa 4: Hornos de Segura – Montillana y Área Recreativa Los Parrales', 'Bosques del Sur - Etapa 5: Montillana y Área Recreativa Los Parrales - Casa Forestal Hoya de los Trevejiles', 'Bosques del Sur - Etapa 7: Zona de Acampada Controlada Fuente de Los Cerezos – Refugio Casa Forestal La Parra', 'Bosques del Sur - Etapa 8: Refugio Casa Forestal La Parra – Refugio Majalserbal', 'Bosques del Sur - Etapa 9: Refugio Majalserbal - Refugio Casa Forestal La Zarza', 'Bosques del Sur - Etapa 10: Refugio Casa Forestal La Zarza – La Iruela', 'Bosques del Sur - Etapa 11: Cazorla – Refugio Casa Forestal Collado Zamora', 'Bosques del Sur - Etapa 15: Refugio Casa Forestal Fuente Acero - Refugio Rambla Seca', 'Bosques del Sur - Etapa 16: Refugio Rambla Seca – Refugio Campo del Espino', 'Bosques del Sur - Etapa 17: Refugio Campo del Espino – Pontones', 'Bosques del Sur - Etapa 18: Pontones – La Toba', 'Derivacion 5 bosques del sur etapa 16', 'Derivacion 6 bosques del sur etapa 17', 'Derivacion 11 bosques del sur', 'Bosques del sur variante 2 etapa 1', 'Bosques del Sur variante 2 etapa 2', 'Bosques del sur variante 3 etapa1', 'Bosques del Sur variante 3 etapa2', 'Picón del Rey - Arroyo de los Cierzos', 'PR-A 315 Puente Herrerías - Poyos de la Mesa']"
41,Shelter,Refugio MOJON ALTO,"['Shelter in Spain', 'Shelter in La rioja', 'Shelter in La Rioja']",8 beds,Paid,?,Forestry house (Open lower part),?,?,?,?,?,[],Latitude: 42.1356 Longitude: -2.71108,[],[],[],"['PRC-BU 205 Sendero de las Nilsas de Neila', 'PR-BU 202 Senda del Piquillo']"
42,Campsite,Camping Ciudad de Albarracín,"['Campsite in Spain', 'Campsite in Aragon', 'Campsite in Teruel']",? beds,Paid,?,?,tel:+34 978710197,http://www.campingalbarracin.com/,?,?,?,[],Latitude: 40.4119 Longitude: -1.42756,[],[],[],"['S6 Casa Forestal de Ligros - Campamento de los Maquis (SL-TE 23)', 'SL-TE 41', 'SL-TE 49 Barranco de las Cuevas', 'SL-TE 40 Barranco de la Hoz', 'SL-TE 46 Las Celadas']"
